kb_kyoden_search_1,kb_kyoden_search_2,no_haisyutu,nm_hpannounce,nm_houjin1,nm_houjin2,nm_kyoten,cd_ken,nm_ken,ad_address1,ad_address2,ad_address3,nm_address,nm_address_search,no_tel,ad_latitude,ad_longitude,map_url
1,0,0100200148,,桜井ミシン電気商会,,桜井ミシン電気商会　,13,東京都,世田谷区,豪徳寺１−４５−３,,東京都世田谷区豪徳寺１−４５−３,東京都世田谷区豪徳寺１−４５−３,03-3429-3761,35.65397644042969,139.64671325683594,https://map.yahoo.co.jp/search?q=東京都世田谷区豪徳寺１−４５−３
1,0,0100210578,,（有）深澤電機商会,,（有）深澤電機商会　,13,東京都,文京区,千駄木３−４１−１１,,東京都文京区千駄木３−４１−１１,東京都文京区千駄木３−４１−１１,03-3821-0622,35.72724914550781,139.76470947265625,https://map.yahoo.co.jp/search?q=東京都文京区千駄木３−４１−１１
1,0,0100210895,,（有）森山電気商会,,（有）森山電気商会　,13,東京都,豊島区,南池袋２−１４−５,,東京都豊島区南池袋２−１４−５,東京都豊島区南池袋２−１４−５,03-3971-6320,35.72649002075195,139.71246337890625,https://map.yahoo.co.jp/search?q=東京都豊島区南池袋２−１４−５
1,0,0100210924,,（有）わくい電器,,（有）わくい電器　,13,東京都,板橋区,常盤台４−６−１７,,東京都板橋区常盤台４−６−１７,東京都板橋区常盤台４−６−１７,03-3935-2409,35.764244079589844,139.68222045898438,https://map.yahoo.co.jp/search?q=東京都板橋区常盤台４−６−１７
1,0,0100211007,,児玉電気店,,児玉電気店　,13,東京都,品川区,東大井５−１０−７,,東京都品川区東大井５−１０−７,東京都品川区東大井５−１０−７,03-3474-8933,35.606937408447266,139.73892211914062,https://map.yahoo.co.jp/search?q=東京都品川区東大井５−１０−７
1,0,0100211086,,古谷電気（株）,,古谷電気（株）　,13,東京都,目黒区,上目黒２−１２−１１,,東京都目黒区上目黒２−１２−１１,東京都目黒区上目黒２−１２−１１,03-3711-7511,35.6426887512207,139.69837951660156,https://map.yahoo.co.jp/search?q=東京都目黒区上目黒２−１２−１１
1,0,0100211346,,クサジマ電器（株）,,クサジマ電器（株）　,13,東京都,羽村市,緑ヶ丘１−１５−１０,クサジマビル１Ｆ,東京都羽村市緑ヶ丘１−１５−１０クサジマビル１Ｆ,東京都羽村市緑ヶ丘１−１５−１０,042-554-5121,35.762939453125,139.3145294189453,https://map.yahoo.co.jp/search?q=東京都羽村市緑ヶ丘１−１５−１０
1,0,1000000764,,（株）ソフマップ,新宿店　１階レジ（旧新宿２号店）,（株）ソフマップ　新宿店　１階レジ（旧新宿２号店）,13,東京都,新宿区,西新宿１−１８−５,甲新ビル,東京都新宿区西新宿１−１８−５甲新ビル,東京都新宿区西新宿１−１８−５,03-3253-1111,35.68859100341797,139.69842529296875,https://map.yahoo.co.jp/search?q=東京都新宿区西新宿１−１８−５
1,0,1000000856,,（株）ヤマダデンキ,ベスト電器　連雀店,（株）ヤマダデンキ　ベスト電器　連雀店,13,東京都,三鷹市,下連雀６−１７−３６,,東京都三鷹市下連雀６−１７−３６,東京都三鷹市下連雀６−１７−３６,0422-44-4142,35.6917610168457,139.56613159179688,https://map.yahoo.co.jp/search?q=東京都三鷹市下連雀６−１７−３６
1,0,1000001680,,（株）Ｊｏｓｈｉｎ,つるかわ店,（株）Ｊｏｓｈｉｎ　つるかわ店,13,東京都,町田市,金井８−１５−５,,東京都町田市金井８−１５−５,東京都町田市金井８−１５−５,042-734-4751,35.575496673583984,139.46810913085938,https://map.yahoo.co.jp/search?q=東京都町田市金井８−１５−５
1,0,1000003554,,（株）ヤマダデンキ,テックランド大田糀谷店,（株）ヤマダデンキ　テックランド大田糀谷店,13,東京都,大田区,萩中２−１２−５,,東京都大田区萩中２−１２−５,東京都大田区萩中２−１２−５,03-5735-0200,35.551300048828125,139.73301696777344,https://map.yahoo.co.jp/search?q=東京都大田区萩中２−１２−５
1,0,1000004169,,（株）ケーズホールディングス,ケーズデンキ府中本店,（株）ケーズホールディングス　ケーズデンキ府中本店,13,東京都,府中市,日鋼町１−４,,東京都府中市日鋼町１−４,東京都府中市日鋼町１−４,042-352-2030,35.678077697753906,139.46786499023438,https://map.yahoo.co.jp/search?q=東京都府中市日鋼町１−４
1,0,1000004205,,（株）ヤマダデンキ,ベスト電器　中野川島店,（株）ヤマダデンキ　ベスト電器　中野川島店,13,東京都,中野区,弥生町３−３１−１,,東京都中野区弥生町３−３１−１,東京都中野区弥生町３−３１−１,03-6300-4900,35.68805694580078,139.67396545410156,https://map.yahoo.co.jp/search?q=東京都中野区弥生町３−３１−１
1,0,1000004207,,（株）ヤマダデンキ,ベスト電器　テックランド小金井店,（株）ヤマダデンキ　ベスト電器　テックランド小金井店,13,東京都,小金井市,本町５−１１−２,ＭＥＧＡドン・キホーテ武蔵小金井駅前店５Ｆ・６Ｆ,東京都小金井市本町５−１１−２ＭＥＧＡドン・キホーテ武蔵小金井駅前店５Ｆ・６Ｆ,東京都小金井市本町５−１１−２,042-382-5111,35.701480865478516,139.50558471679688,https://map.yahoo.co.jp/search?q=東京都小金井市本町５−１１−２
1,0,1000004309,,（株）ケーズホールディングス,ケーズデンキ足立店,（株）ケーズホールディングス　ケーズデンキ足立店,13,東京都,足立区,小台１−２０−６,,東京都足立区小台１−２０−６,東京都足立区小台１−２０−６,03-5813-5252,35.75520706176758,139.77099609375,https://map.yahoo.co.jp/search?q=東京都足立区小台１−２０−６
1,0,1000004321,,（株）ケーズホールディングス,ケーズデンキ多摩ニュータウン店,（株）ケーズホールディングス　ケーズデンキ多摩ニュータウン店,13,東京都,八王子市,別所２−３９−５,,東京都八王子市別所２−３９−５,東京都八王子市別所２−３９−５,042-678-7933,35.613975524902344,139.39871215820312,https://map.yahoo.co.jp/search?q=東京都八王子市別所２−３９−５
1,0,1000004731,,（株）ヤマダデンキ,ベスト電器　今井店,（株）ヤマダデンキ　ベスト電器　今井店,13,東京都,江戸川区,江戸川３−５５−１２,,東京都江戸川区江戸川３−５５−１２,東京都江戸川区江戸川３−５５−１２,03-3670-2482,35.68259048461914,139.8903350830078,https://map.yahoo.co.jp/search?q=東京都江戸川区江戸川３−５５−１２
1,0,1000004920,,（株）ケーズホールディングス,ケーズデンキ稲城若葉台店,（株）ケーズホールディングス　ケーズデンキ稲城若葉台店,13,東京都,稲城市,若葉台２−１０−２,,東京都稲城市若葉台２−１０−２,東京都稲城市若葉台２−１０−２,042-350-5011,35.62165832519531,139.47335815429688,https://map.yahoo.co.jp/search?q=東京都稲城市若葉台２−１０−２
1,0,1000004998,,（株）ケーズホールディングス,ケーズデンキ立川店,（株）ケーズホールディングス　ケーズデンキ立川店,13,東京都,立川市,泉町８４１−７,,東京都立川市泉町８４１−７,東京都立川市泉町８４１−７,042-538-2311,35.71566390991211,139.42018127441406,https://map.yahoo.co.jp/search?q=東京都立川市泉町８４１−７
1,0,1000004999,,（株）ケーズホールディングス,ケーズデンキ八王子店,（株）ケーズホールディングス　ケーズデンキ八王子店,13,東京都,八王子市,北野町５９２−１,,東京都八王子市北野町５９２−１,東京都八王子市北野町５９２−１,042-631-8970,35.652767181396484,139.3511962890625,https://map.yahoo.co.jp/search?q=東京都八王子市北野町５９２−１
1,0,1000005133,,（株）ケーズホールディングス,ケーズデンキ昭島店,（株）ケーズホールディングス　ケーズデンキ昭島店,13,東京都,昭島市,つつじが丘２−８−２０,,東京都昭島市つつじが丘２−８−２０,東京都昭島市つつじが丘２−８−２０,042-549-0601,35.715267181396484,139.36700439453125,https://map.yahoo.co.jp/search?q=東京都昭島市つつじが丘２−８−２０
1,0,1000005139,,（株）ケーズホールディングス,ケーズデンキ青梅店,（株）ケーズホールディングス　ケーズデンキ青梅店,13,東京都,青梅市,今寺５−１３−１,,東京都青梅市今寺５−１３−１,東京都青梅市今寺５−１３−１,0428-30-7121,35.79352569580078,139.3033905029297,https://map.yahoo.co.jp/search?q=東京都青梅市今寺５−１３−１
1,0,1000005253,,（株）ソフマップ,ソフマップＡＫＩＢＡパソコン・デジタル館,（株）ソフマップ　ソフマップＡＫＩＢＡパソコン・デジタル館,13,東京都,千代田区,外神田３−１３−１２,ＩＭＹビル,東京都千代田区外神田３−１３−１２ＩＭＹビル,東京都千代田区外神田３−１３−１２,03-3253-9190,35.70027542114258,139.77099609375,https://map.yahoo.co.jp/search?q=東京都千代田区外神田３−１３−１２
1,0,1000005257,,（株）ソフマップ,ソフマップ池袋店,（株）ソフマップ　ソフマップ池袋店,13,東京都,豊島区,東池袋１−５−６,,東京都豊島区東池袋１−５−６,東京都豊島区東池袋１−５−６,03-3590-1111,35.730674743652344,139.71322631835938,https://map.yahoo.co.jp/search?q=東京都豊島区東池袋１−５−６
1,0,1000005301,,（株）ケーズホールディングス,ケーズデンキ西葛西店,（株）ケーズホールディングス　ケーズデンキ西葛西店,13,東京都,江戸川区,西葛西４−２−１８,,東京都江戸川区西葛西４−２−１８,東京都江戸川区西葛西４−２−１８,03-5679-5181,35.667205810546875,139.86253356933594,https://map.yahoo.co.jp/search?q=東京都江戸川区西葛西４−２−１８
1,0,1000005502,,（株）ケーズホールディングス,ケーズデンキ東久留米店,（株）ケーズホールディングス　ケーズデンキ東久留米店,13,東京都,東久留米市,下里６−３−９,,東京都東久留米市下里６−３−９,東京都東久留米市下里６−３−９,042-479-0951,35.75638961791992,139.49684143066406,https://map.yahoo.co.jp/search?q=東京都東久留米市下里６−３−９
1,0,1000005526,,（株）Ｊｏｓｈｉｎ,西東京保谷店,（株）Ｊｏｓｈｉｎ　西東京保谷店,13,東京都,西東京市,保谷町５−８−８,,東京都西東京市保谷町５−８−８,東京都西東京市保谷町５−８−８,042-462-0711,35.73183059692383,139.54994201660156,https://map.yahoo.co.jp/search?q=東京都西東京市保谷町５−８−８
1,0,1000005572,,（株）Ｊｏｓｈｉｎ,王子店,（株）Ｊｏｓｈｉｎ　王子店,13,東京都,北区,堀船１−２３−１３,,東京都北区堀船１−２３−１３,東京都北区堀船１−２３−１３,03-5959-2311,35.7520866394043,139.7441864013672,https://map.yahoo.co.jp/search?q=東京都北区堀船１−２３−１３
1,0,1000005645,,（株）ケーズホールディングス,ケーズデンキイオンタウン稲城長沼店,（株）ケーズホールディングス　ケーズデンキイオンタウン稲城長沼店,13,東京都,稲城市,大字東長沼字４−１２１２−１,,東京都稲城市大字東長沼字４−１２１２−１,東京都稲城市大字東長沼字４−１２１２−１,042-401-7750,35.634765625,139.50425720214844,https://map.yahoo.co.jp/search?q=東京都稲城市大字東長沼字４−１２１２−１
1,0,1000005730,,（株）ケーズホールディングス,ケーズデンキ足立一ツ家店,（株）ケーズホールディングス　ケーズデンキ足立一ツ家店,13,東京都,足立区,一ツ家３−８−１８,,東京都足立区一ツ家３−８−１８,東京都足立区一ツ家３−８−１８,03-5851-8806,35.77873611450195,139.81494140625,https://map.yahoo.co.jp/search?q=東京都足立区一ツ家３−８−１８
1,0,1000005778,,（株）ソフマップ,ソフマップＡＫＩＢＡ駅前館,（株）ソフマップ　ソフマップＡＫＩＢＡ駅前館,13,東京都,千代田区,外神田１−１５−８,,東京都千代田区外神田１−１５−８,東京都千代田区外神田１−１５−８,03-6260-7960,35.698097229003906,139.77215576171875,https://map.yahoo.co.jp/search?q=東京都千代田区外神田１−１５−８
1,0,1000005782,,（株）ソフマップ,ビックカメラアウトレット×ソフマップ町田店,（株）ソフマップ　ビックカメラアウトレット×ソフマップ町田店,13,東京都,町田市,原町田６ー７ー８,アクティオーレ町田１Ｆ・２Ｆ,東京都町田市原町田６ー７ー８アクティオーレ町田１Ｆ・２Ｆ,東京都町田市原町田６ー７ー８,042-860-6621,35.542603,139.448105,https://map.yahoo.co.jp/search?q=東京都町田市原町田６ー７ー８
1,0,1000005813,,（株）ケーズホールディングス,ケーズデンキ足立竹の塚店,（株）ケーズホールディングス　ケーズデンキ足立竹の塚店,13,東京都,足立区,伊興本町二丁目１番２２号,,東京都足立区伊興本町二丁目１番２２号,東京都足立区伊興本町二丁目１番２２号,03-5809-5516,35.800048828125,139.7896270751953,https://map.yahoo.co.jp/search?q=東京都足立区伊興本町二丁目１番２２号
1,0,1000005841,,（株）Ｊｏｓｈｉｎ,マークイズ葛飾かなまち店,（株）Ｊｏｓｈｉｎ　マークイズ葛飾かなまち店,13,東京都,葛飾区,東金町１−１０−１,ＭＡＲＫ　ＩＳ　葛飾かなまち２Ｆ,東京都葛飾区東金町１−１０−１ＭＡＲＫ　ＩＳ　葛飾かなまち２Ｆ,東京都葛飾区東金町１−１０−１,03-5672-9221,35.770591735839844,139.86683654785156,https://map.yahoo.co.jp/search?q=東京都葛飾区東金町１−１０−１
1,0,2000000123,,でんきのえんどう,,でんきのえんどう　,13,東京都,青梅市,二俣尾４−９５６−４,,東京都青梅市二俣尾４−９５６−４,東京都青梅市二俣尾４−９５６−４,0428-78-9595,35.802589416503906,139.2167205810547,https://map.yahoo.co.jp/search?q=東京都青梅市二俣尾４−９５６−４
1,0,2000000184,,（有）稔電器,プラスワン平和島,（有）稔電器　プラスワン平和島,13,東京都,大田区,大森北６−２６−７,,東京都大田区大森北６−２６−７,東京都大田区大森北６−２６−７,03-3765-8118,35.578853607177734,139.73333740234375,https://map.yahoo.co.jp/search?q=東京都大田区大森北６−２６−７
1,0,2000000320,,（株）芝江電機,いつも電気シバコー,（株）芝江電機　いつも電気シバコー,13,東京都,世田谷区,上野毛１−１８−１７,臼井ビル１Ｆ,東京都世田谷区上野毛１−１８−１７臼井ビル１Ｆ,東京都世田谷区上野毛１−１８−１７,03-3703-1944,35.61354446411133,139.64080810546875,https://map.yahoo.co.jp/search?q=東京都世田谷区上野毛１−１８−１７
1,0,2000000472,,（有）内野デンキサービス,,（有）内野デンキサービス　,13,東京都,調布市,佐須町３−７−３,,東京都調布市佐須町３−７−３,東京都調布市佐須町３−７−３,042-487-4349,35.656585693359375,139.55348205566406,https://map.yahoo.co.jp/search?q=東京都調布市佐須町３−７−３
1,0,2000000479,,（株）ジャストオン,ＡＶＡＮＴジャストオン,（株）ジャストオン　ＡＶＡＮＴジャストオン,13,東京都,町田市,南成瀬１−２−１　２−１０７,駅前ハイツ,東京都町田市南成瀬１−２−１　２−１０７駅前ハイツ,東京都町田市南成瀬１−２−１　２−１０７,042-721-5011,35.53650665283203,139.4735565185547,https://map.yahoo.co.jp/search?q=東京都町田市南成瀬１−２−１　２−１０７
1,0,2000000660,,（有）キタミ電器,,（有）キタミ電器　,13,東京都,狛江市,岩戸南４−３１−１７,,東京都狛江市岩戸南４−３１−１７,東京都狛江市岩戸南４−３１−１７,03-3480-3811,35.623958587646484,139.59115600585938,https://map.yahoo.co.jp/search?q=東京都狛江市岩戸南４−３１−１７
1,0,2000000689,,高久電器（有）,タカクデンキ,高久電器（有）　タカクデンキ,13,東京都,府中市,紅葉丘２−１０−１,ハイム鈴木,東京都府中市紅葉丘２−１０−１ハイム鈴木,東京都府中市紅葉丘２−１０−１,042-369-8791,35.677467346191406,139.51478576660156,https://map.yahoo.co.jp/search?q=東京都府中市紅葉丘２−１０−１
1,0,2000001184,,（有）大野無線電気,,（有）大野無線電気　,13,東京都,練馬区,貫井３−６−４,,東京都練馬区貫井３−６−４,東京都練馬区貫井３−６−４,03-3926-1211,35.73556900024414,139.62847900390625,https://map.yahoo.co.jp/search?q=東京都練馬区貫井３−６−４
1,0,2000001185,,渡辺電器照明（株）,アヴアン　ワタナベ,渡辺電器照明（株）　アヴアン　ワタナベ,13,東京都,墨田区,東向島６−５３−２０,,東京都墨田区東向島６−５３−２０,東京都墨田区東向島６−５３−２０,03-3614-2020,35.726505279541016,139.822998046875,https://map.yahoo.co.jp/search?q=東京都墨田区東向島６−５３−２０
1,0,2000001344,,（有）ムトウ電器,,（有）ムトウ電器　,13,東京都,世田谷区,上北沢４−１７−２０,,東京都世田谷区上北沢４−１７−２０,東京都世田谷区上北沢４−１７−２０,03-3304-3121,35.66987991333008,139.62435913085938,https://map.yahoo.co.jp/search?q=東京都世田谷区上北沢４−１７−２０
1,0,2000001694,,（有）いとう電気,,（有）いとう電気　,13,東京都,東久留米市,新川町１−６−７,,東京都東久留米市新川町１−６−７,東京都東久留米市新川町１−６−７,042-471-5626,35.76274490356445,139.53738403320312,https://map.yahoo.co.jp/search?q=東京都東久留米市新川町１−６−７
1,0,2000002415,,三立電器,,三立電器　,13,東京都,国分寺市,南町２−１０−１６,松尾ビル１Ｆ,東京都国分寺市南町２−１０−１６松尾ビル１Ｆ,東京都国分寺市南町２−１０−１６,042-324-2262,35.699501037597656,139.48419189453125,https://map.yahoo.co.jp/search?q=東京都国分寺市南町２−１０−１６
1,0,2000003549,,星電機工業（株）,,星電機工業（株）　,13,東京都,荒川区,荒川１−５０−１１,,東京都荒川区荒川１−５０−１１,東京都荒川区荒川１−５０−１１,03-3801-8795,35.73345184326172,139.7845916748047,https://map.yahoo.co.jp/search?q=東京都荒川区荒川１−５０−１１
1,0,2000003584,,（有）電化のあまの,,（有）電化のあまの　,13,東京都,八王子市,大楽寺町４０３−１０,,東京都八王子市大楽寺町４０３−１０,東京都八王子市大楽寺町４０３−１０,042-626-1277,35.67361068725586,139.294189453125,https://map.yahoo.co.jp/search?q=東京都八王子市大楽寺町４０３−１０
1,0,2100000506,,（株）ヤマグチ,でんかのヤマグチ根岸店,（株）ヤマグチ　でんかのヤマグチ根岸店,13,東京都,町田市,根岸１−１３−５,,東京都町田市根岸１−１３−５,東京都町田市根岸１−１３−５,042-793-2278,35.57268524169922,139.41378784179688,https://map.yahoo.co.jp/search?q=東京都町田市根岸１−１３−５
1,0,2100001221,,イーエル商会,,イーエル商会　,13,東京都,港区,虎ノ門１−１６−６,虎ノ門ラポート１０２,東京都港区虎ノ門１−１６−６虎ノ門ラポート１０２,東京都港区虎ノ門１−１６−６,03-3591-5980,35.668487548828125,139.7488555908203,https://map.yahoo.co.jp/search?q=東京都港区虎ノ門１−１６−６
1,0,2100001257,,（株）今野商店,今野電機,（株）今野商店　今野電機,13,東京都,港区,赤坂７−１０−６,,東京都港区赤坂７−１０−６,東京都港区赤坂７−１０−６,03-3582-6216,35.669742584228516,139.73240661621094,https://map.yahoo.co.jp/search?q=東京都港区赤坂７−１０−６
1,0,2100001315,,小沢電気商会,,小沢電気商会　,13,東京都,墨田区,京島３−１０−１９,,東京都墨田区京島３−１０−１９,東京都墨田区京島３−１０−１９,03-3612-0341,35.71654510498047,139.82232666015625,https://map.yahoo.co.jp/search?q=東京都墨田区京島３−１０−１９
1,0,2100001448,,（有）旭電気商会,,（有）旭電気商会　,13,東京都,江戸川区,西小岩５−１４−１２,,東京都江戸川区西小岩５−１４−１２,東京都江戸川区西小岩５−１４−１２,03-3673-6331,35.73970031738281,139.88319396972656,https://map.yahoo.co.jp/search?q=東京都江戸川区西小岩５−１４−１２
1,0,2100001469,,（株）那須電機,,（株）那須電機　,13,東京都,江戸川区,中央１−２−２０,,東京都江戸川区中央１−２−２０,東京都江戸川区中央１−２−２０,03-3651-0981,35.70464324951172,139.86871337890625,https://map.yahoo.co.jp/search?q=東京都江戸川区中央１−２−２０
1,0,2100001484,,（有）ライフラインサービス,,（有）ライフラインサービス　,13,東京都,江戸川区,新堀２−３−１５,,東京都江戸川区新堀２−３−１５,東京都江戸川区新堀２−３−１５,03-3677-8011,35.704322814941406,139.88992309570312,https://map.yahoo.co.jp/search?q=東京都江戸川区新堀２−３−１５
1,0,2100001645,,いとう電気,,いとう電気　,13,東京都,葛飾区,堀切８−１６−１５,,東京都葛飾区堀切８−１６−１５,東京都葛飾区堀切８−１６−１５,03-3601-3340,35.75819396972656,139.83535766601562,https://map.yahoo.co.jp/search?q=東京都葛飾区堀切８−１６−１５
1,0,2100001773,,生活彩館　いちはら,,生活彩館　いちはら　,13,東京都,足立区,大谷田５−１３−１,,東京都足立区大谷田５−１３−１,東京都足立区大谷田５−１３−１,03-3620-3278,35.78218460083008,139.83949279785156,https://map.yahoo.co.jp/search?q=東京都足立区大谷田５−１３−１
1,0,2100001790,,（有）中田屋,営業部,（有）中田屋　営業部,13,東京都,足立区,西新井本町５−８−７,,東京都足立区西新井本町５−８−７,東京都足立区西新井本町５−８−７,03-3849-1601,35.774417877197266,139.78179931640625,https://map.yahoo.co.jp/search?q=東京都足立区西新井本町５−８−７
1,0,2100001939,,（有）まるやデンキ,,（有）まるやデンキ　,13,東京都,豊島区,池袋２−７２−１０,第二岸本ビル１Ｆ,東京都豊島区池袋２−７２−１０第二岸本ビル１Ｆ,東京都豊島区池袋２−７２−１０,03-3986-2918,35.73611831665039,139.70956420898438,https://map.yahoo.co.jp/search?q=東京都豊島区池袋２−７２−１０
1,0,2100001946,,（株）古賀無線電機商会,,（株）古賀無線電機商会　,13,東京都,豊島区,東池袋１−７−７,,東京都豊島区東池袋１−７−７,東京都豊島区東池袋１−７−７,03-3971-3191,35.73176956176758,139.7138671875,https://map.yahoo.co.jp/search?q=東京都豊島区東池袋１−７−７
1,0,2100001956,,（有）奈良電気商会,,（有）奈良電気商会　,13,東京都,豊島区,池袋本町４−３６−１２,,東京都豊島区池袋本町４−３６−１２,東京都豊島区池袋本町４−３６−１２,03-3971-9175,35.74459457397461,139.7140655517578,https://map.yahoo.co.jp/search?q=東京都豊島区池袋本町４−３６−１２
1,0,2100001964,,（株）巣鴨電器,,（株）巣鴨電器　,13,東京都,豊島区,南大塚１−３１−２０,白井ビル１Ｆ,東京都豊島区南大塚１−３１−２０白井ビル１Ｆ,東京都豊島区南大塚１−３１−２０,03-3946-7104,35.73129653930664,139.7359619140625,https://map.yahoo.co.jp/search?q=東京都豊島区南大塚１−３１−２０
1,0,2100002025,,（有）本橋電気,,（有）本橋電気　,13,東京都,板橋区,高島平５−３５−１０,,東京都板橋区高島平５−３５−１０,東京都板橋区高島平５−３５−１０,03-3939-2307,35.7869873046875,139.6480255126953,https://map.yahoo.co.jp/search?q=東京都板橋区高島平５−３５−１０
1,0,2100002064,,（有）ヤマト家庭電器サービス,ヤマト電器,（有）ヤマト家庭電器サービス　ヤマト電器,13,東京都,練馬区,桜台４−１４−１,,東京都練馬区桜台４−１４−１,東京都練馬区桜台４−１４−１,03-3948-7656,35.739173889160156,139.66021728515625,https://map.yahoo.co.jp/search?q=東京都練馬区桜台４−１４−１
